None,ticker,date,open,high,low,close,volume,ex-dividend,split_ratio,adj_open,adj_high,adj_low,adj_close,adj_volume
42,AAPL,1981-02-12,26.25,26.25,26.13,26.13,65000.0,0.0,1.0,0.38594887971669,0.38594887971669,0.38418454198084,0.38418454198084,3640000.0
43,AAPL,1981-02-13,25.75,25.75,25.5,25.5,49800.0,0.0,1.0,0.37859747248399,0.37859747248399,0.37492176886764,0.37492176886764,2788800.0
44,AAPL,1981-02-17,26.13,26.25,26.13,26.13,54800.0,0.0,1.0,0.38418454198084,0.38594887971669,0.38418454198084,0.38418454198084,3068800.0
45,AAPL,1981-02-18,27.25,27.5,27.25,27.25,85900.0,0.0,1.0,0.40065169418209,0.40432739779844,0.40065169418209,0.40065169418209,4810400.0
46,AAPL,1981-02-19,25.75,25.75,25.63,25.63,99600.0,0.0,1.0,0.37859747248399,0.37859747248399,0.37683313474814,0.37683313474814,5577600.0
47,AAPL,1981-02-20,24.38,24.38,24.25,24.25,108800.0,0.0,1.0,0.35845461666639,0.35845461666639,0.35654325078589,0.35654325078589,6092800.0
48,AAPL,1981-02-23,24.62,24.75,24.62,24.62,63000.0,0.0,1.0,0.36198329213809,0.36389465801859,0.36198329213809,0.36198329213809,3528000.0
49,AAPL,1981-02-24,24.0,24.0,23.75,23.75,75800.0,0.0,1.0,0.35286754716954,0.35286754716954,0.34919184355319,0.34919184355319,4244800.0
50,AAPL,1981-02-25,25.25,25.37,25.25,25.25,87000.0,0.0,1.0,0.37124606525129,0.37301040298714,0.37124606525129,0.37124606525129,4872000.0
51,AAPL,1981-02-26,25.63,25.75,25.63,25.63,48400.0,0.0,1.0,0.37683313474814,0.37859747248399,0.37683313474814,0.37683313474814,2710400.0
52,AAPL,1981-02-27,26.5,26.75,26.5,26.5,65900.0,0.0,1.0,0.38962458333304,0.39330028694939,0.38962458333304,0.38962458333304,3690400.0
53,AAPL,1981-03-02,26.63,26.75,26.63,26.63,52500.0,0.0,1.0,0.39153594921354,0.39330028694939,0.39153594921354,0.39153594921354,2940000.0
54,AAPL,1981-03-03,26.37,26.37,26.25,26.25,72200.0,0.0,1.0,0.38771321745254,0.38771321745254,0.38594887971669,0.38594887971669,4043200.0
55,AAPL,1981-03-04,26.13,26.13,26.0,26.0,61200.0,0.0,1.0,0.38418454198084,0.38418454198084,0.38227317610034,0.38227317610034,3427200.0
56,AAPL,1981-03-05,26.0,26.0,25.87,25.87,24000.0,0.0,1.0,0.38227317610034,0.38227317610034,0.38036181021984,0.38036181021984,1344000.0
